id,nume,prenume,telefon,email
1,Samson,Hopper,0723310299,samson6786@aol.com
2,Kevin,Hart,0721222754,kevin1321@google.com
3,Gretchen,Mcneil,0728876372,gretchen@yahoo.com
4,Hunter,Bright,0722278252,hunter667@aol.com
5,Ruby,Roberson,0728015154,ruby466@hotmail.com
6,Travis,Howell,0725624655,travis@icloud.com
7,Carolyn,Wong,0725561363,carolyn@hotmail.com
8,Emi,Mcintyre,0726141202,emi2033@aol.com
9,Caesar,Floyd,0721984175,caesar334@aol.com
10,Brendan,Cherry,0724357513,brendan3523@icloud.com
11,Whilemina,Massey,0729229012,whilemina7141@outlook.com
12,Maggie,Glenn,0720691275,maggie7599@hotmail.com
13,Donovan,Knight,0724476109,donovan3118@yahoo.com
14,Bertha,Bond,0726618461,bertha@outlook.com
15,Allistair,Buchanan,0722321884,allistair@aol.com
16,Claire,Joyner,0724208212,claire@google.com
17,Rogan,Battle,0726398635,rogan@protonmail.com
18,Chandler,King,0728286238,chandler@google.com
19,Kay,Compton,0729384757,kay2775@icloud.com
20,Gareth,Mercado,0727381665,gareth5495@aol.com
